Squad,Pts,Season
Southampton,46,2016/2017
Bournemouth,46,2016/2017
West Brom,45,2016/2017
West Ham,45,2016/2017
Leicester City,44,2016/2017
Stoke City,44,2016/2017
Crystal Palace,41,2016/2017
Swansea City,41,2016/2017
Burnley,40,2016/2017
Watford,40,2016/2017
Hull City,34,2016/2017
Middlesbrough,28,2016/2017
Sunderland,24,2016/2017
Manchester City,100,2017/2018
Manchester Utd,81,2017/2018
Tottenham,77,2017/2018
Liverpool,75,2017/2018
Chelsea,70,2017/2018
Arsenal,63,2017/2018
Burnley,54,2017/2018
Everton,49,2017/2018
Leicester City,47,2017/2018
Newcastle Utd,44,2017/2018
Crystal Palace,44,2017/2018
Bournemouth,44,2017/2018
West Ham,42,2017/2018
Watford,41,2017/2018
Brighton,40,2017/2018
Huddersfield,37,2017/2018
Southampton,36,2017/2018
Swansea City,33,2017/2018
Stoke City,33,2017/2018
West Brom,31,2017/2018
Manchester City,98,2018/2019
Liverpool,97,2018/2019
Chelsea,72,2018/2019
Tottenham,71,2018/2019
Arsenal,70,2018/2019
Manchester Utd,66,2018/2019
Wolves,57,2018/2019
Everton,54,2018/2019
Leicester City,52,2018/2019
West Ham,52,2018/2019
Watford,50,2018/2019
Crystal Palace,49,2018/2019
Newcastle Utd,45,2018/2019
Bournemouth,45,2018/2019
Burnley,40,2018/2019
Southampton,39,2018/2019
Brighton,36,2018/2019
Cardiff City,34,2018/2019
Fulham,26,2018/2019
Huddersfield,16,2018/2019
Liverpool,99,2019/2020
Manchester City,81,2019/2020
Manchester Utd,66,2019/2020
Chelsea,66,2019/2020
Leicester City,62,2019/2020
Tottenham,59,2019/2020
Wolves,59,2019/2020
Arsenal,56,2019/2020
Sheffield Utd,54,2019/2020
Burnley,54,2019/2020
Southampton,52,2019/2020
Everton,49,2019/2020
Newcastle Utd,44,2019/2020
Crystal Palace,43,2019/2020
Brighton,41,2019/2020
West Ham,39,2019/2020
Aston Villa,35,2019/2020
Bournemouth,34,2019/2020
Watford,34,2019/2020
Norwich City,21,2019/2020
Manchester City,86,2020/2021
Manchester Utd,74,2020/2021
Liverpool,69,2020/2021
Chelsea,67,2020/2021
Leicester City,66,2020/2021
West Ham,65,2020/2021
Tottenham,62,2020/2021
Arsenal,61,2020/2021
Leeds United,59,2020/2021
Everton,59,2020/2021
Aston Villa,55,2020/2021
Newcastle Utd,45,2020/2021
Wolves,45,2020/2021
Crystal Palace,44,2020/2021
Southampton,43,2020/2021
Brighton,41,2020/2021
Burnley,39,2020/2021
Fulham,28,2020/2021
West Brom,26,2020/2021
Sheffield Utd,23,2020/2021
Manchester City,93,2021/2022
Liverpool,92,2021/2022
Chelsea,74,2021/2022
Tottenham,71,2021/2022
Arsenal,69,2021/2022
Manchester Utd,58,2021/2022
West Ham,56,2021/2022
Leicester City,52,2021/2022
Brighton,51,2021/2022
Wolves,51,2021/2022
Newcastle Utd,49,2021/2022
Crystal Palace,48,2021/2022
Brentford,46,2021/2022
Aston Villa,45,2021/2022
Southampton,40,2021/2022
Everton,39,2021/2022
Leeds United,38,2021/2022
Burnley,35,2021/2022
Watford,23,2021/2022
Norwich City,22,2021/2022
Atlético Madrid,87,1995/1996
Valencia,83,1995/1996
Barcelona,80,1995/1996
Espanyol,74,1995/1996
Tenerife,72,1995/1996
Real Madrid,70,1995/1996
Real Sociedad,63,1995/1996
Real Betis,62,1995/1996
Deportivo La Coruña,61,1995/1996
Compostela,59,1995/1996
Celta Vigo,52,1995/1996
Sevilla,48,1995/1996
Zaragoza,48,1995/1996
Oviedo,48,1995/1996
Athletic Club,48,1995/1996
Valladolid,47,1995/1996
Racing Sant,47,1995/1996
Sporting Gijón,46,1995/1996
Rayo Vallecano,44,1995/1996
Albacete,42,1995/1996
Mérida,42,1995/1996
Salamanca,33,1995/1996
Real Madrid,92,1996/1997
Barcelona,90,1996/1997
Deportivo La Coruña,77,1996/1997
Real Betis,77,1996/1997
Atlético Madrid,71,1996/1997
Athletic Club,64,1996/1997
Valladolid,64,1996/1997
Real Sociedad,63,1996/1997
Tenerife,56,1996/1997
Valencia,56,1996/1997
Compostela,53,1996/1997
Espanyol,51,1996/1997
Racing Sant,50,1996/1997
Zaragoza,50,1996/1997
Sporting Gijón,50,1996/1997
Celta Vigo,49,1996/1997
Oviedo,48,1996/1997
Rayo Vallecano,45,1996/1997
Extremadura,44,1996/1997
Sevilla,43,1996/1997
Hércules,41,1996/1997
Logroñés,33,1996/1997
Barcelona,74,1997/1998
Athletic Club,65,1997/1998
Real Sociedad,63,1997/1998
Real Madrid,63,1997/1998
Mallorca,60,1997/1998
Celta Vigo,60,1997/1998
Atlético Madrid,60,1997/1998
Real Betis,59,1997/1998
Valencia,55,1997/1998
Espanyol,53,1997/1998
Valladolid,50,1997/1998
Deportivo La Coruña,49,1997/1998
Zaragoza,48,1997/1998
Racing Sant,45,1997/1998
Salamanca,45,1997/1998
Tenerife,45,1997/1998
Compostela,44,1997/1998
Oviedo,40,1997/1998
Mérida,39,1997/1998
Sporting Gijón,13,1997/1998
Barcelona,79,1998/1999
Real Madrid,68,1998/1999
Mallorca,66,1998/1999
Valencia,65,1998/1999
Celta Vigo,64,1998/1999
Deportivo La Coruña,63,1998/1999
Espanyol,61,1998/1999
Athletic Club,60,1998/1999
Zaragoza,57,1998/1999
Real Sociedad,54,1998/1999
Real Betis,49,1998/1999
Valladolid,48,1998/1999
Atlético Madrid,46,1998/1999
Oviedo,45,1998/1999
Racing Sant,42,1998/1999
Alavés,40,1998/1999
Extremadura,39,1998/1999
Villarreal,36,1998/1999
Tenerife,34,1998/1999
Salamanca,27,1998/1999
La Coruña,69,1999/2000
Barcelona,64,1999/2000
Valencia,64,1999/2000
Zaragoza,63,1999/2000
Real Madrid,62,1999/2000
Alavés,61,1999/2000
Celta Vigo,53,1999/2000
Valladolid,53,1999/2000
Rayo Vallecano,52,1999/2000
Mallorca,51,1999/2000
Athletic Club,50,1999/2000
Málaga,48,1999/2000
Real Sociedad,47,1999/2000
Espanyol,47,1999/2000
Racing Sant,46,1999/2000
Oviedo,45,1999/2000
Numancia,45,1999/2000
Betis,42,1999/2000
Atlético Madrid,38,1999/2000
Sevilla,28,1999/2000
Real Madrid,80,2000/2001
La Coruña,73,2000/2001
Mallorca,71,2000/2001
Barcelona,63,2000/2001
Valencia,63,2000/2001
Celta Vigo,59,2000/2001
Villarreal,57,2000/2001
Málaga,56,2000/2001
Espanyol,50,2000/2001
Alavés,49,2000/2001
Las Palmas,46,2000/2001
Athletic Club,43,2000/2001
Real Sociedad,43,2000/2001
Rayo Vallecano,43,2000/2001
Osasuna,42,2000/2001
Valladolid,42,2000/2001
Zaragoza,42,2000/2001
Oviedo,41,2000/2001
Racing Sant,39,2000/2001
Numancia,39,2000/2001
Valencia,75,2001/2002
La Coruña,68,2001/2002
Real Madrid,66,2001/2002
Barcelona,64,2001/2002
Celta Vigo,60,2001/2002
Betis,59,2001/2002
Alavés,54,2001/2002
Sevilla,53,2001/2002
Athletic Club,53,2001/2002
Málaga,53,2001/2002
Rayo Vallecano,49,2001/2002
Valladolid,48,2001/2002
Real Sociedad,47,2001/2002
Espanyol,47,2001/2002
Villarreal,43,2001/2002
Mallorca,43,2001/2002
Osasuna,42,2001/2002
Las Palmas,40,2001/2002
Tenerife,38,2001/2002
Zaragoza,37,2001/2002
Real Madrid,78,2002/2003
Real Sociedad,76,2002/2003
La Coruña,72,2002/2003
Celta Vigo,61,2002/2003
Valencia,60,2002/2003
Barcelona,56,2002/2003
Athletic Club,55,2002/2003
Betis,54,2002/2003
Mallorca,52,2002/2003
Sevilla,50,2002/2003
Osasuna,47,2002/2003
Atlético Madrid,47,2002/2003
Málaga,46,2002/2003
Valladolid,46,2002/2003
Villarreal,45,2002/2003
Racing Sant,44,2002/2003
Espanyol,43,2002/2003
Recreativo,36,2002/2003
Alavés,35,2002/2003
Rayo Vallecano,32,2002/2003
Valencia,77,2003/2004
Barcelona,72,2003/2004
La Coruña,71,2003/2004
Real Madrid,70,2003/2004
Athletic Club,56,2003/2004
Sevilla,55,2003/2004
Atlético Madrid,55,2003/2004
Villarreal,54,2003/2004
Betis,52,2003/2004
Málaga,51,2003/2004
Mallorca,51,2003/2004
Zaragoza,48,2003/2004
Osasuna,48,2003/2004
Albacete,47,2003/2004
Real Sociedad,46,2003/2004
Espanyol,43,2003/2004
Racing Sant,43,2003/2004
Valladolid,41,2003/2004
Celta Vigo,39,2003/2004
Real Murcia,26,2003/2004
Barcelona,84,2004/2005
Real Madrid,80,2004/2005
Villarreal,65,2004/2005
Betis,62,2004/2005
Espanyol,61,2004/2005
Sevilla,60,2004/2005
Valencia,58,2004/2005
Athletic Club,51,2004/2005
La Coruña,51,2004/2005
Málaga,51,2004/2005
Atlético Madrid,50,2004/2005
Zaragoza,50,2004/2005
Getafe,47,2004/2005
Real Sociedad,47,2004/2005
Osasuna,46,2004/2005
Racing Sant,44,2004/2005
Mallorca,39,2004/2005
Levante,37,2004/2005
Numancia,29,2004/2005
Albacete,28,2004/2005
Barcelona,82,2005/2006
Real Madrid,70,2005/2006
Valencia,69,2005/2006
Osasuna,68,2005/2006
Sevilla,68,2005/2006
Celta Vigo,64,2005/2006
Villarreal,57,2005/2006
La Coruña,55,2005/2006
Getafe,54,2005/2006
Atlético Madrid,52,2005/2006
Zaragoza,46,2005/2006
Athletic Club,45,2005/2006
Mallorca,43,2005/2006
Betis,42,2005/2006
Espanyol,41,2005/2006
Real Sociedad,40,2005/2006
Racing Sant,40,2005/2006
Alavés,39,2005/2006
Cádiz,36,2005/2006
Málaga,24,2005/2006
Real Madrid,76,2006/2007
Barcelona,76,2006/2007
Sevilla,71,2006/2007
Valencia,66,2006/2007
Villarreal,62,2006/2007
Zaragoza,60,2006/2007
Atlético Madrid,60,2006/2007
Recreativo,54,2006/2007
Getafe,52,2006/2007
Racing Sant,50,2006/2007
Espanyol,49,2006/2007
Mallorca,49,2006/2007
La Coruña,47,2006/2007
Osasuna,46,2006/2007
Levante,42,2006/2007
Betis,40,2006/2007
Athletic Club,40,2006/2007
Celta Vigo,39,2006/2007
Real Sociedad,35,2006/2007
Gimnàstic,28,2006/2007
Real Madrid,85,2007/2008
Villarreal,77,2007/2008
Barcelona,67,2007/2008
Atlético Madrid,64,2007/2008
Sevilla,64,2007/2008
Racing Sant,60,2007/2008
Mallorca,59,2007/2008
Almería,52,2007/2008
La Coruña,52,2007/2008
Valencia,51,2007/2008
Athletic Club,50,2007/2008
Espanyol,48,2007/2008
Betis,47,2007/2008
Getafe,47,2007/2008
Valladolid,45,2007/2008
Recreativo,44,2007/2008
Osasuna,43,2007/2008
Zaragoza,42,2007/2008
Real Murcia,30,2007/2008
Levante,26,2007/2008
Barcelona,87,2008/2009
Real Madrid,78,2008/2009
Sevilla,70,2008/2009
Atlético Madrid,67,2008/2009
Villarreal,65,2008/2009
Valencia,62,2008/2009
La Coruña,58,2008/2009
Málaga,55,2008/2009
Mallorca,51,2008/2009
Espanyol,47,2008/2009
Almería,46,2008/2009
Racing Sant,46,2008/2009
Athletic Club,44,2008/2009
Sporting Gijón,43,2008/2009
Osasuna,43,2008/2009
Valladolid,43,2008/2009
Getafe,42,2008/2009
Betis,42,2008/2009
Numancia,35,2008/2009
Recreativo,33,2008/2009
Barcelona,99,2009/2010
Real Madrid,96,2009/2010
Valencia,71,2009/2010
Sevilla,63,2009/2010
Mallorca,62,2009/2010
Getafe,58,2009/2010
Villarreal,56,2009/2010
Athletic Club,54,2009/2010
Atlético Madrid,47,2009/2010
La Coruña,47,2009/2010
Espanyol,44,2009/2010
Osasuna,43,2009/2010
Almería,42,2009/2010
Zaragoza,41,2009/2010
Sporting Gijón,40,2009/2010
Racing Sant,39,2009/2010
Málaga,37,2009/2010
Valladolid,36,2009/2010
Tenerife,36,2009/2010
Xerez,34,2009/2010
Barcelona,96,2010/2011
Real Madrid,92,2010/2011
Valencia,71,2010/2011
Villarreal,62,2010/2011
Sevilla,58,2010/2011
Athletic Club,58,2010/2011
Atlético Madrid,58,2010/2011
Espanyol,49,2010/2011
Osasuna,47,2010/2011
Sporting Gijón,47,2010/2011
Málaga,46,2010/2011
Racing Sant,46,2010/2011
Zaragoza,45,2010/2011
Levante,45,2010/2011
Real Sociedad,45,2010/2011
Getafe,44,2010/2011
Mallorca,44,2010/2011
La Coruña,43,2010/2011
Hércules,35,2010/2011
Almería,30,2010/2011
Real Madrid,100,2011/2012
Barcelona,91,2011/2012
Valencia,61,2011/2012
Málaga,58,2011/2012
Atlético Madrid,56,2011/2012
Levante,55,2011/2012
Osasuna,54,2011/2012
Mallorca,52,2011/2012
Sevilla,50,2011/2012
Athletic Club,49,2011/2012
Getafe,47,2011/2012
Real Sociedad,47,2011/2012
Betis,47,2011/2012
Espanyol,46,2011/2012
Rayo Vallecano,43,2011/2012
Zaragoza,43,2011/2012
Granada,42,2011/2012
Villarreal,41,2011/2012
Sporting Gijón,37,2011/2012
Racing Sant,27,2011/2012
Barcelona,100,2012/2013
Real Madrid,85,2012/2013
Atlético Madrid,76,2012/2013
Real Sociedad,66,2012/2013
Valencia,65,2012/2013
Málaga,57,2012/2013
Betis,56,2012/2013
Rayo Vallecano,53,2012/2013
Sevilla,50,2012/2013
Getafe,47,2012/2013
Levante,46,2012/2013
Athletic Club,45,2012/2013
Espanyol,44,2012/2013
Valladolid,43,2012/2013
Granada,42,2012/2013
Osasuna,39,2012/2013
Celta Vigo,37,2012/2013
Mallorca,36,2012/2013
La Coruña,35,2012/2013
Zaragoza,34,2012/2013
Atlético Madrid,90,2013/2014
Barcelona,87,2013/2014
Real Madrid,87,2013/2014
Athletic Club,70,2013/2014
Sevilla,63,2013/2014
Villarreal,59,2013/2014
Real Sociedad,59,2013/2014
Valencia,49,2013/2014
Celta Vigo,49,2013/2014
Levante,48,2013/2014
Málaga,45,2013/2014
Rayo Vallecano,43,2013/2014
Getafe,42,2013/2014
Espanyol,42,2013/2014
Granada,41,2013/2014
Elche,40,2013/2014
Almería,40,2013/2014
Osasuna,39,2013/2014
Valladolid,36,2013/2014
Betis,25,2013/2014
Barcelona,94,2014/2015
Real Madrid,92,2014/2015
Atlético Madrid,78,2014/2015
Valencia,77,2014/2015
Sevilla,76,2014/2015
Villarreal,60,2014/2015
Athletic Club,55,2014/2015
Celta Vigo,51,2014/2015
Málaga,50,2014/2015
Espanyol,49,2014/2015
Rayo Vallecano,49,2014/2015
